audit_id	stratum	source_row	doc	collection	genre	orig_label	rel_type	same_sentence	unit1_ends_colon	unit1_ends_semicolon	isocolon_score	length_score	syntax_score	lexical_score	word_len_1	word_len_2	unit1_text	unit2_text	human_isocolonic	formal_parallelism	rhetorically_relevant	genuine_comparison_or_coordination	false_positive_repetition	false_positive_list_formatting	false_positive_dialogue_formula	false_positive_template_or_quote	bad_segmentation	notes
QB019	narrow_antithesis_contrast	3610	GUM_fiction_teeth	GUM	fiction	adversative-contrast	implicit	1	0	0	0.4287	0.5978	0.3846	0.1103	13	9	Where we had shelves of plastic dinosaurs and superhero figurines from cornflake boxes,	Steven had plaster casts of jawbones, gums and teeth										
QB020	narrow_antithesis_contrast	6099	GUM_bio_theodorus	GUM	bio	adversative-antithesis	explicit	1	0	0	0.3673	0.9182	0.0	0.0	7	6	naming the brother Petronios as his successor	rather than the clearly qualified Theodorus.										
QB021	dialogue_echo_candidate	1439	GUM_conversation_grounded	GUM	conversation	organization-phatic	implicit	0	0	0	0.5153	0.4444	0.5	0.75	2	4	I kn- —	Oh oh I know.										
QB022	dialogue_echo_candidate	1459	GUM_conversation_risk	GUM	conversation	topic-question	implicit	0	0	0	0.4833	0.8333	0.3333	0.0	1	1	Cool?	Okay.										
QB023	dialogue_echo_candidate	6371	GUM_conversation_blacksmithing	GUM	conversation	elaboration-additional	explicit	1	0	0	0.428	0.7801	0.2424	0.0455	8	11	and a horse has this little white line,	and you clean it out with the — with the hoof knife.										
QB024	dialogue_echo_candidate	15530	GUM_vlog_lipstick	GUM	vlog	topic-question	implicit	0	0	0	0.717	0.902	0.75	0.125	4	4	Alright what is this?	Oh this is Ofra!										
QB025	dialogue_echo_candidate	12450	GUM_podcast_movie	GUM	podcast	restatement-partial	implicit	0	0	0	0.566	0.8056	0.5	0.125	4	3	was this last year?	Am I correct										
QB026	dialogue_echo_candidate	6317	GUM_conversation_atoms	GUM	conversation	restatement-partial	implicit	0	0	0	0.6962	0.8968	0.5	0.75	6	5	There's a hole in it.	Well, there's a hole,										
QB027	comparative_concession	7304	GUM_court_carpet	GUM	court	adversative-concession	implicit	1	0	0	0.4626	0.8941	0.2	0.1	5	4	that I'm reading it,	this is not evidence,										
QB028	comparative_concession	16237	GUM_voyage_lodz	GUM	voyage	adversative-concession	explicit	1	0	0	0.4564	0.8909	0.2222	0.0	9	9	The origin of the city's name is unknown,	"however, the word łódź translates to ""boat"" in English."										
QB029	comparative_concession	15806	GUM_vlog_pregnant	GUM	vlog	adversative-concession	explicit	0	0	0	0.4132	0.808	0.2	0.0	10	9	and just let you know how I've been feeling.	But in terms <*> I'm not gonna vlog										
QB030	comparative_concession	15104	GUM_vlog_college	GUM	vlog	adversative-concession	implicit	0	0	0	0.3993	0.9357	0.0556	0.0	6	6	One of us needs to change.	Well I got this from you										
QB031	comparative_concession	2946	GUM_whow_overalls	GUM	whow	adversative-concession	explicit	1	0	0	0.4557	0.8206	0.2667	0.05	10	9	Plastic-type twist ties will hold up in the wash,	but may or may not melt in your dryer.										
QB032	high_non_target_artifact	5927	GUM_bio_moreau	GUM	bio	joint-sequence	implicit	0	0	0	0.8317	0.9167	0.9444	0.2667	6	6	Born 23 January 1928 Paris, France	Died 31 July 2017 <*> Paris, France										
QB033	high_non_target_artifact	16188	GUM_voyage_isfahan	GUM	voyage	context-background	implicit	0	0	0	0.828	0.8981	0.75	0.875	3	4	Naqsh-e Jahan Square	1 Naqsh-e Jahan Square.										
QB034	high_non_target_artifact	11533	GUM_news_expo	GUM	news	organization-heading	implicit	0	0	0	0.8278	0.9444	1.0	0.0	1	1	Disney	Belle										
QB035	high_non_target_artifact	7065	GUM_conversation_toys	GUM	conversation	joint-other	implicit	0	0	0	0.8167	0.9167	1.0	0.0	1	1	Mhm.	Yeah.										
QB036	high_non_target_artifact	14187	GUM_speech_trump	GUM	speech	mode-manner	implicit	1	0	0	0.8124	0.8346	0.8095	0.7619	6	7	And it's got to stop	and it's got to stop fast.										
QB037	restatement_repetition_control	1337	GUM_conversation_grounded	GUM	conversation	restatement-repetition	implicit	1	0	0	1.0	1.0	1.0	1.0	6	6	Get your feet off of there.	Get your feet off of there.										
QB038	restatement_repetition_control	6274	GUM_conversation_atoms	GUM	conversation	restatement-repetition	implicit	1	0	0	1.0	1.0	1.0	1.0	1	1	Two.	Two.										
QB039	restatement_repetition_control	15297	GUM_vlog_exams	GUM	vlog	restatement-repetition	implicit	0	0	0	1.0	1.0	1.0	1.0	2	2	these three?	These three,										
QB040	restatement_repetition_control	7757	GUM_court_nullification	GUM	court	restatement-repetition	implicit	0	0	0	1.0	1.0	1.0	1.0	4	4	Was there a finding?	Was there a finding										
